item_id,condition,item,context_n,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,probe,filename,pos,modified
61,el,el1,9,The,fertilizer,enriched,the,soil,so,the,plants,####,####,####,####,####,####,could,filler_el1,v,0
62,el,el3,11,The,mole,lived,in,a,hole,in,the,ground,at,####,####,####,####,the,filler_el3,n,0
63,el,el5,10,The,bad,boy,was,sent,to,his,room,without,####,####,####,####,####,any,filler_el5,n,0
64,el,el7,10,The,boys,helped,Jane,wax,her,car,because,she,####,####,####,####,####,didn't,filler_el7,v,0
65,el,el9,5,The,cows,moved,from,####,####,####,####,####,####,####,####,####,####,the,filler_el9,n,0
66,el,el11,9,I,added,my,name,to,the,list,right,####,####,####,####,####,####,after,filler_el11,n,0
67,el,el13,9,Abby,brushed,her,teeth,after,every,meal,and,####,####,####,####,####,####,every,filler_el13,n,0
68,el,el15,7,Yesterday,they,canoed,down,the,river,####,####,####,####,####,####,####,####,with,filler_el15,n,0
69,el,el17,7,He,liked,lemon,and,sugar,in,####,####,####,####,####,####,####,####,his,filler_el17,n,0
70,el,el19,7,Emily,poured,cereal,in,a,bowl,####,####,####,####,####,####,####,####,to,filler_el19,v,0
71,el,el21,11,The,carpenter,pounded,in,the,last,nail,with,his,hammer,####,####,####,####,and,filler_el21,v,0
72,el,el23,7,Tonight,make,sure,you,wish,on,####,####,####,####,####,####,####,####,a,filler_el23,n,0
73,el,el25,9,The,cold,drink,was,served,with,a,slice,####,####,####,####,####,####,of,filler_el25,n,0
74,el,el27,4,They,drank,champagne,####,####,####,####,####,####,####,####,####,####,####,to,filler_el27,v,0
75,el,el29,5,The,halftime,entertainment,was,####,####,####,####,####,####,####,####,####,####,the,filler_el29,n,0
76,el,el31,6,The,kids,fed,the,ducks,####,####,####,####,####,####,####,####,####,some,filler_el31,n,0
77,el,el33,8,On,top,of,the,hamburger,there,was,####,####,####,####,####,####,####,melted,filler_el33,n,0
78,el,el35,11,Every,Sunday,morning,people,pray,in,their,local,church,with,####,####,####,####,their,filler_el35,n,0
79,el,el37,9,I,like,hot,fudge,with,ice,cream,and,####,####,####,####,####,####,a,filler_el37,n,0
80,el,el39,10,Because,he,had,a,toothache,he,called,his,dentist,####,####,####,####,####,to,filler_el39,v,0
81,el,el41,9,The,society's,annual,dues,were,fifty,dollars,from,####,####,####,####,####,####,each,filler_el41,n,0
82,el,el43,9,Jack,ordered,a,hamburger,and,french,fries,from,####,####,####,####,####,####,the,filler_el43,n,0
83,el,el45,6,The,attendant,filled,the,car,####,####,####,####,####,####,####,####,####,with,filler_el45,n,0
84,el,el47,12,The,policeman's,gun,was,sitting,in,his,shoulder,holster,when,the,####,####,####,phone,filler_el47,v,0
85,el,el49,5,Cut,me,a,slice,####,####,####,####,####,####,####,####,####,####,of,filler_el49,n,0
86,el,el51,4,Before,"exercising,",Jack,####,####,####,####,####,####,####,####,####,####,####,always,filler_el51,v,0
87,el,el53,9,They,placed,an,ad,in,the,daily,paper,####,####,####,####,####,####,to,filler_el53,v,1
88,el,el55,6,In,the,morning,he,forgot,####,####,####,####,####,####,####,####,####,to,filler_el55,v,0
89,el,el57,12,He,finally,decided,to,shingle,the,damaged,roof,that,the,storm,####,####,####,had,filler_el57,v,0
90,el,el59,8,Pam,weighed,herself,on,the,bathroom,scale,####,####,####,####,####,####,####,to,filler_el59,v,0
91,sol,sol1,5,The,housemaids,talked,to,####,####,####,####,####,####,####,####,####,####,the,filler_sol1,n,0
92,sol,sol3,12,The,doormen,ushered,the,student,away,from,the,building,and,pointed,####,####,####,to,filler_sol3,n,0
93,sol,sol5,12,The,constables,suspected,the,criminal,of,the,break-in,and,searched,in,####,####,####,his,filler_sol5,n,0
94,sol,sol7,9,The,neighbors,visited,the,professor,some,days,ago,####,####,####,####,####,####,to,filler_sol7,v,1
