item_id,condition,item,context_n,Group,w1,w2,w3,w4,w5,w6,w7,w8,probe,target,filename
1,a,61a.,8,A,The,librarian,documented,which,celebrities,the,journalist,####,had,interviewed,exp_1a
1,b,61b.,8,B,The,librarian,documented,which,journalist,the,celebrities,####,had,interviewed,exp_1b
2,a,62a.,9,B,The,old,widower,remembered,which,villager,the,ghost,had,haunted,exp_2a
2,b,62b.,9,A,The,old,widower,remembered,which,ghost,the,villager,had,haunted,exp_2b
3,a,63a.,8,A,The,firefighter,reported,which,victim,the,paramedic,####,had,saved,exp_3a
3,b,63b.,8,B,The,firefighter,reported,which,paramedic,the,victim,####,had,saved,exp_3b
4,a,64a.,8,B,The,historian,documented,which,prince,the,assassin,####,had,killed,exp_4a
4,b,64b.,8,A,The,historian,documented,which,assassin,the,prince,####,had,killed,exp_4b
5,a,65a.,9,A,The,park,ranger,documented,which,eagle,the,hunter,had,shot,exp_5a
5,b,65b.,9,B,The,park,ranger,documented,which,hunter,the,eagle,had,shot,exp_5b
6,a,66a.,9,B,The,judo,master,recognized,which,defender,the,assailant,had,attacked,exp_6a
6,b,66b.,9,A,The,judo,master,recognized,which,assailant,the,defender,had,attacked,exp_6b
7,a,67a.,8,A,The,naturalist,observed,which,predators,the,deer,####,had,avoided,exp_7a
7,b,67b.,8,B,The,naturalist,observed,which,deer,the,predators,####,had,avoided,exp_7b
8,a,68a.,9,B,The,restaurant,owner,forgot,which,customer,the,waitress,had,served,exp_8a
8,b,68b.,9,A,The,restaurant,owner,forgot,which,waitress,the,customer,had,served,exp_8b
9,a,69a.,9,A,The,head,nun,explained,which,friar,the,temptress,had,seduced,exp_9a
9,b,69b.,9,B,The,head,nun,explained,which,temptress,the,friar,had,seduced,exp_9b
10,a,70a.,8,B,The,housekeeper,showed,which,mouse,the,cat,####,had,killed,exp_10a
10,b,70b.,8,A,The,housekeeper,showed,which,cat,the,mouse,####,had,killed,exp_10b
11,a,71a.,8,A,The,nanny,knew,which,housekeeper,the,billionaire,####,had,hired,exp_11a
11,b,71b.,8,B,The,nanny,knew,which,billionaire,the,housekeeper,####,had,hired,exp_11b
12,a,72a.,8,B,The,researcher,learned,which,whale,the,biologist,####,had,studied,exp_12a
12,b,72b.,8,A,The,researcher,learned,which,biologist,the,whale,####,had,studied,exp_12b
13,a,73a.,7,A,Tracy,announced,which,applicant,the,administrator,####,####,had,chosen,exp_13a
13,b,73b.,7,B,Tracy,announced,which,administrator,the,applicant,####,####,had,chosen,exp_13b
14,a,74a.,9,B,The,birthday,boy,saw,which,friend,the,clown,had,scared,exp_14a
14,b,74b.,9,A,The,birthday,boy,saw,which,clown,the,friend,had,scared,exp_14b
15,a,75a.,8,A,The,columnist,publicized,which,photographer,the,celebrity,####,had,punched,exp_15a
15,b,75b.,8,B,The,columnist,publicized,which,celebrity,the,photographer,####,had,punched,exp_15b
16,a,76a.,8,B,The,documentarian,showed,which,piglets,the,agriculturalist,####,had,raised,exp_16a
16,b,76b.,8,A,The,documentarian,showed,which,agriculturalist,the,piglets,####,had,raised,exp_16b
17,a,77a.,9,A,The,police,officer,noted,which,jeweler,the,burglar,had,robbed,exp_17a
17,b,77b.,9,B,The,police,officer,noted,which,burglar,the,jeweler,had,robbed,exp_17b
18,a,78a.,9,B,The,royal,cook,asked,which,lord,the,chef,had,served,exp_18a
18,b,78b.,9,A,The,royal,cook,asked,which,chef,the,lord,had,served,exp_18b
19,a,79a.,9,A,The,trapeze,artist,indicated,which,lion,the,trainer,had,tamed,exp_19a
19,b,79b.,9,B,The,trapeze,artist,indicated,which,trainer,the,lion,had,tamed,exp_19b
20,a,80a.,9,B,The,wildlife,curator,mentioned,which,ape,the,zookeeper,had,fed,exp_20a
20,b,80b.,9,A,The,wildlife,curator,mentioned,which,zookeeper,the,ape,had,fed,exp_20b
21,a,81a.,9,A,The,aid,worker,realized,which,refugees,the,philanthropist,had,helped,exp_21a
21,b,81b.,9,B,The,aid,worker,realized,which,philanthropist,the,refugees,had,helped,exp_21b
22,a,82a.,8,B,The,camper,reported,which,girl,the,bear,####,had,mauled,exp_22a
22,b,82b.,8,A,The,camper,reported,which,bear,the,girl,####,had,mauled,exp_22b
23,a,83a.,9,A,The,dance,instructor,noticed,which,onlookers,the,performers,had,impressed,exp_23a
